text,SCORE,GRADE,name,matched_name,DBA,review_stars
Worst service here. Waited for over 20 minutes to be served.  Several waitresses walked past me and no one would stop. I tried to flag someone down and all I got was an attitude. Not like if it was packed. Lots of empty seats available but the staff was the worst ever!!!! Pretty sad!,0,A,Ducky's,Ducky's,Ducky's Sp,1.0
"Great experience! This place is a hidden gem. It was hard to find their menu online, and they don't have a website, but they should! I attached the menu photos on here, hopefully it helps someone. They are completely barricaded in behind plastic shutters, it is a fantastic covid precaution and we found the inside very clean. Staff was so friendly and even gave us free donuts to promote their coupon without us even asking. The food was all so delicious, the house lo mein was our favorite! There was meat in every bite. They definitely do not skimp on their portions, everything was huge! We will definitely be back!",3,A,Hong Kong,Hong Kong,Hong Kon,4.0
"Holy Crp! is more like it. There is nothing worse than waiting and waiting for food and once you finally get it, it's overcooked. This is what happened when we went to a food truck rally and decided to go to this one. It make you wonder what the cook was thinking about while standing in front of it all that time. Not only was it crispy but it was bland.  I've had much better crepes in Tampa.",28,C,Holy Crepe!,Holy Crepe!,H0ly Crepe!,1.0
"I have been coming to Lauro's for so many years......I actually remember coming to this location when it was the Chinese Pavilion (for those of you who have lived in Tampa for a long time...you will know).  Tonight, me and my parents met here for a spontaneous dinner.  What can I say??? We had another wonderful experience! Walking in the door we were met by Sayed (I apologize if I am spelling his name incorrectly) who recognized us and welcomed us warmly. We were seated at a table and promptly taken care of. Our dinners were delicious and they were happy to accommodate my father with something that was not on the menu. After dinner we never felt rushed to leave and were able to sit and chat. Thank you Lauros, for always being a wonderful experience and a home away from home.",25,B,Lauro Ristorante,Lauro Ristorante,Lauro Ristorant3,5.0
I ordered on the phone and they told me 10 minutes. I showed up in 10 minutes and nobody seem to be there. It looked dead. There was a white SUV parked in the back but that was it. I had to leave. I've been to the actual restaurant over by USF which is really good but I'm not sure what's going on at this location. Oh well.,22,B,Jerk Hut - Seminole Heights,Jerk Hut - Seminole Heights,Jerk Hut - Semin0le Heights,1.0
"A locals hangout for sure. A little smoky, but there are  a few arcade games (and pinball), pool tables,  and the drinks are pretty darn cheap.",21,B,MacKenzies Sports Tavern,MacKenzies Sports Tavern,M@cKenzies Sports T@vern,3.0
"This is honestly my go to Chinese spot for a number of reasons. It's close to home and their quality is there. I appreciate the fact that they're the closest thing to NYC Chinese food. I normally order the crab rangoon to start. Easily, one of my favorite dishes to start off with when it comes to Chinese. Their wings are always on point. Always crispy and never lacking in the flavor department. Another go to is the chicken lo mein. This is one dish I always feel the need to order. The chicken is delicious and the lo mein is perfectly coated in the right amount of sauce. My husband usually goes for the chicken and broccoli. We eat a lot of chicken, can you tell? Haha! But the large chicken and broccoli is MASIVE! Seriously, this thing can feed at least 2-3 people all by itself. Easily. So, if you're ever in the area of 50th and Columbus and feel like a good egg roll or some boneless spare ribs to go? This is your spot!",7,A,Far East Chinese Restaurant,Far East Chinese Restaurant,Far East Chin3s3 R3staurant,4.0
"Didn't eat anything. Planned to go for a movie. But, the timing showed online was different than the actual timing. So, if you're going there to watch a movie... Call them to check the time before you head there!",11,A,Villagio Cinemas,Villagio Cinemas,Villagio Cin3mas,1.0
Extremely rude! Made a reservation 2 weeks a head of time to get there the day of the reservation to be told oh well sorry! The manager told the employee to close the door behind him and leave us outside. Don't waste your money!,0,A,La Perrada Lounge,La Perrada Lounge,L@ Perr@d@ Lounge,1.0
"Just popping in to restore some balance. This is a family-operated business. I've watched their kids grow up behind the counter. The family is sweet. 

My favorite of all the bad reviews is from the guy who said he lives 0.4miles away and waited too long for delivery. Dude, you are scum and lazy. Walk the 6 minutes and save everyone the hassle of your existence.",21,B,Oriental Express Chinese Sushi Restaurant,Oriental Express Chinese Sushi Restaurant,Ori3ntal Expr3ss Chin3s3 Sushi R3staurant,5.0
"I started coming here for lunch in 2007. And I've introduced like 12 people who now come here regularly. So that should tell you how much I love ABC Pizza. 

And I won't lie ... on this one I'm a creature of habit. I think I've probably had the Lunch Special of a 1 topping pizza and a salad about 95% of the time I've visited. Pepperoni. Although I distinctly recall one time I added mushrooms and it was great! Their tomato sauce is ever so slightly sweet, which i enjoy. I also ALWAYS add a scoop of potato salad to my tossed salad with feta and . Then, when topped with their creamy Italian dressing ... perfection. 

Rooke a newbie there today. They'll be back :)",3,A,ABC Pizza House,ABC Pizza House,ABC Pizza House Inc.,4.0
"Don't let the gas station adjacent location fool you. This spot is legit Indian food. We tried butter chicken, saag paneer, Chicken 65 and several naan. All great.",13,A,Curry Leaves Indian Cuisine,Curry Leaves Indian Cuisine,Curry Le@ves Indi@n Cuisine,5.0
"Finally got  around to trying it tonight. So good! I had a side of the kofta curry, chicken masala entre, and salad. Super fast and friendly.  Loved the food and the staff. A new local favorite!",22,B,Curry In Hurry,Curry In Hurry,Curry In Hurry Inc.,5.0
"The Best  Soul Food in Tampa!  Food is great, customer service is excellent, and friendly environment. The food is prepared with love!",39,C,Food 4 The Soul Diner & Bakery,Food 4 The Soul Diner & Bakery,Food 4 Th3 Soul Din3r & Bak3ry,5.0
"I have probably had Nicola's donuts 4-5 times in the past 10 years. I always think ""they are just alright"" but then a couple years down the line I end up giving them another shot. The last time I had them was a few months back. I purchased two dozen for my nephews birthday. I ordered a variety of flavors so I could get the full experience. Again, they all tasted pretty average. And really really sweet. Almost too sweet. If I had to pick one donut to go back for it would be the cronut. It has the perfect amount of sweetness and is nice and light compared to the other options.",12,A,Nicola's Donut Shop,Nicola's Donut Shop,Nic0la's D0nut Sh0p,3.0
Best Jamaican food spot in Tampa hands down!! Only recommendation is get there early before they sell out of the Jamaican beef patties. I try to grab a few each time I'm in Tampa.,22,B,Jerk Hut - Seminole Heights,Jerk Hut - Seminole Heights,Jerk Hut - Semin0le Heights,5.0
"This new coffee shop, in Soho, is adorable! The spot is the perfect location for grabbing a cup and working with your laptop at a quiet place or grabbing a cup of coffee with a friend! I believe this is the second location for Blind Tiger, and it was very nice. New and bright and a great mural on the wall. The coffee was also delicious! I ordered the cappuccino and although it wasn't the prettiest I've seen, it was yummy. It was a great atmosphere with the plenty of seating and the cute Men's ship right next door was a pleasant find while we waited for our coffee. This is a great addition to the Soho neighborhood.",24,B,The Blind Tiger Cafe - SOHO,The Blind Tiger Cafe - SOHO,The Blind Tiger C@fe - SOHO,4.0
Hoy fui con mi familia a comer a Pepitos y ordene para mi el plato de churrasco y estaba malísimo no tenía nada los plátanos quemados mi esposa ordenó un chimichanga malísimo mi hija chícharo es de pollo con tostones y el pollo quemado y los tostones parecía una sopa de aceite y mi hijo unas quesadillas que tuvimos que votarla lamentablemente vote $56 no se lo recomiendo a nadien.,22,B,Pepitos After Hours,Pepitos After Hours,Pepitos After Hours,1.0
"Came here for dinner.  There was no wait, place was nearly empty.  Restaurant is clean.

Ordered ""white meat"" chicken breasts, legs and wings.  They only had legs and said it would be a 13 minute wait.

Their chicken is OK but not as good as KFC.  It is tasty but its just too greasy.  Some parts had a stale taste.

The beans and rice are spicy, not something most kids like.  Mashed potatoes are decent.  Sauces are good.

Disappointed that they no longer have the Jambalaya Bowls.

Will not be coming back.",1,A,Popeyes Louisiana Kitchen,Popeyes Louisiana Kitchen,popeyes louisiana kitchen,3.0
This restaurant/bar has great variety in BOTH music and crafts. So glad they started playing more metal music,18,B,Tampa Bay Brewing Company Westchase,Tampa Bay Brewing Company Westchase,tampa bay brewing company westchase,5.0
"I'm a fan of the Sweet Tomatoes chain, but this location is just ok. They have issues keeping certain popular items stocked. I've been to this location twice, and both times all pasta options were lacking. They were either gone or unseasoned. The food that is seasoned properly is quickly taken, and there is no telling when it will be restocked. The kitchen doesn't seem to be on any sort of schedule. I've also been disappointmed in the soup selection. Not enough options without meat.",39,C,Sweet Tomatoes,Sweet Tomatoes,Sweet Tomatoes Inc.,2.0
"Stopped in for lunch earlier this week when a class unexpectedly canceled (yay for a leisurely lunch!). Since I was there right after they opened, it was only myself and one other customer, though I watched many people come and go as I sat and ate.
It seemed a little dark in the restaurant, but there was a lot of natural light coming in through the windows, as one entire side of the place is floor to ceiling glass. Still, the lack of overhead light felt like I came in early before they were really ready to open. I know, I know, it's weird. 

Anyway, I ordered the BBQ bowl (spinach, brown rice, onions, cheese, and black beans with steak. It was a bit pricier than I expected it to be at $17, but I suppose that higher quality food will be more expensive - and there are cheaper options, should meat not be what you're looking for.
I found this bowl to be pretty large and filling. I would have only eaten half and saved the rest for later if I wasn't spending the afternoon in a classroom. All that to say that the portions do seem big enough to break into smaller meals if desired. There was A LOT of spinach and onion in my bowl, and I felt like I tasted those flavors for the rest of the day. It was mildly off-putting, but maybe that wouldn't have been the case had I poured the BBQ sauce on the food instead of using it as a dip.

The menu shows that they also serve salads and wraps, which look delicious as pictured, in addition to soups, smoothies, and juices. I definitely want to try a salad next time I stop in.
All ingredients are clearly listed, which is a plus for me, as I'm still working on navigating the eating-out scene as a gluten-free eater.

All in all, I would definitely eat here again, though I might consider forgoing the meat upgrade!",25,B,SoFresh,SoFresh,SoFresh,4.0
"Yelpers rejoice: a father and son are running a hole-in-the-wall that takes something familiar (pizza) with an unfamiliar twist. We eat this stuff up. Literally.

Detroit-style pizza may be new to Tampa, so I'll break it down like a cheap import: you start with the crust on the bottom, of course, but after that everything's reversed. Toppings go directly onto the crust, followed by so much cheese that it flows out to the edge of the pan and dies a delicious crispy death. Tomato sauce goes on top.

We went for the $12 dinner deal: a 1-topping large pizza, which feeds 3-4 people who aren't pizza hogs like I am, with an order of garlic breadsticks and a 2-liter bottle of soda. The guy behind the counter (the son in the father-and-son team) heard us talking about how I drink diet cola and she drinks Mountain Dew, and offered to split it into two cans. Absurd unless you're us; it was actually more valuable split up like that. Smart business move.

The breadsticks, even topped with cheese for an extra 50 cents, weren't particularly Detroity; they give Pokey Stix a run for their money, though. The pizza, which we also split up (half pepperoni, half mushroom -- and yeah, they only count that as one topping, not two), was distinctly better than most pizza I've eaten in Tampa. (Atlantans will recognize it as similar to Jagger's.) 

Again with the thoughtful: the one-man band running Pizza Squared separated the toppings so neatly that I didn't eat a shred of pepperoni, and defied Detroit tradition to put the mushrooms on top so I'd know which side was mine. Very helpful, and btw not completely unfortunate looking either, if anyone wants to play Who Wants To Marry a Cute Pizzeria Operator Who Also Plays in a Band That Sometimes Rehearses in the Aforementioned Pizzeria. (If you're taken, sir, or not marriage-minded, my apologies. I try to mention ALL the charms of a business.)

You'll drive past Pizza Squared the first time because it's in a little strip mall south of Fowler, across from the Yuengling bottling plant, and you'll be paying attention to the traffic cones (probably a good choice). That's okay. Turn around and come back. Next time you won't drive past it without stopping.",35,C,Pizza Squared,Pizza Squared,pizza squared,5.0
"Most authetic Thai food in the city. Great sushi, friendly staff and very clean.  Also offers traditional asian floor dining. Definitely the needle in the haystack.",15,B,Sukho Thai,Sukho Thai,Sukho Thai,5.0
"Gem of a place. The best sandwiches in Tampa (try the steak) at incredible prices. D&D is a Mom and Pop, local biz where you leave feeling happy since the employees are so personable and friendly. We lived in Tampa for 12 years and this a place we make sure we go to when we return.",2,A,D & D Delights,D & D Delights,D & D Delights,5.0
"I love good Mexican food, but Tampa has so many authentic Mexican dining options that this one falls a little bit short of their competition. Overall though, it's a decent middle of the road type of place for Mexican food. 

The food is good but not great, the prices are a bit on the high side but not unfair, and they do have a few signature dishes that are worth a try. 

You wouldn't think burgers at a Mexican restaurant but they do have a pretty good one. If you're not feeling the vibe of a spicy dinner, the burger is a good choice. 

Now, what they DO have is a solid neighborhood bar environment and the margaritas are great.  It has an energetic night time atmosphere.  

I tried the Molcajete and had plenty to take home with me.  

Plenty of parking, decent bar, average food, so it's a yes if you are looking for standard Mexican fare.",37,C,Señor Tequila Mexican Grill,Señor Tequila Mexican Grill,Señ0r Tequila Mexican Grill,3.0
"Good for weekday lunch. Service speed can be spotty, quick some days and very slow on others. Food quality is very consistent.",19,B,Spanish Tapas Cafe,Spanish Tapas Cafe,Spanish Tapas Caf3,3.0
Arrived and the truck isn't even here during business hours. Drove for nothing. Very disappointed.,25,B,RyRy's Chicken And Waffles,RyRy's Chicken And Waffles,RyRy's Chick3n And Waffl3s,1.0
"Definitely looking forward to coming back soon! Our server was very friendly and extremely informative as we asked so many questions about the menu. The flavors were incredibly fresh and pleasantly complex. My only recommendations are to bring an open mind and an empty belly, because once you are here, be expected to be treated like family as the portions and the hospitality are bountiful!!!",38,C,Song Huong Restaurant,Song Huong Restaurant,S0ng Hu0ng Restaurant,5.0
The service was horrible. The guy in the booth barely spoke while taking my order and was blasting very explicit music to the point where I had to yell my order to him. He only wore a glove on one hand while preparing my food and was taking breaks to text in the middle. This was pathetic service and the food really wasn't worth it.,11,A,Murph's Barbeque,Murph's Barbeque,murph's barbeque,2.0
Ordered a veggie pizza and it was really good. They brush something on the crust and it was very tasty.  Will order again.,11,A,Xpress Pizza and Subs,Xpress Pizza and Subs,Xpress Pizza and Subs Inc.,4.0
"Love DeVito's! I was lucky enough to try everything when they first opened and just WOW! The food is authentic and incredibly delicious! Love it here because not only is the food great, but the ambiance and service is incredible too!",30,C,DeVito's Italian Specialties,DeVito's Italian Specialties,devito's italian specialties,5.0
Fusion Bowl is consistently delicious and very reasonably priced. They're open from breakfast until mid afternoon and on Tuesdays have half off apps. Today I got the Báhn Mì sandwich which looks and tasted delicious!,36,C,Fusion Bowl,Fusion Bowl,Fusion Bowl,5.0
"Wow! First off it's complimentary valet. The ambience was so nice and upscale yet relaxing. Live music playing. Very clean. Waiters are in suits and bow ties. Very classy. 

The drinks and food were amazing and I don't have a single bad thing to say. Everyone enjoyed everything they had. There's too much food from my table to comment on so I'll post them in photos. But I personally had the goat cheese, mushroom and arugula salad which was super yummy and fresh! And I ordered the butter poached lobster mashed potatoes! Yummmmm amazing! My two favorite things combined and it was a huge portion with big chunks of lobster meat. Their shareable sides are definitely for sharing! I also split two desserts with a friend. The s'mores and the bananas foster which is flambéed table-side. Let's just say there wasn't a bite of anything left! Totally worth it!",12,A,Eddie V's Prime Seafood,Eddie V's Prime Seafood,Eddie V's Prime Seafood Inc.,5.0
"We had some fun in this Vietnamese grocery stocking up on sweet soy sauce, thick soy sauce, chili paste, coconut milk, a few cold drinks, fresh veggies, fresh fruit, and of course some crazy varieties of ramen,

I think they were happy to have a non-oriental person in the store because they have us a huge bottle of fish sauce as a gift when we checked out. It will last a few years as I don't ever seem to use fish sauce when I'm cooking. Time to try some new recipes!",20,B,Lien Hoa Oriental Market,Lien Hoa Oriental Market,Li3n Hoa Ori3ntal Mark3t,4.0
"Ordered online when we got there food was never made which all were made wrong , when we finally got it . Never read any of special instruction . I won't waste my time or money again .",6,A,Nubia Philly Steak & Pizza,Nubia Philly Steak & Pizza,Nubia Philly Steak & Pizza,1.0
"I can admit when I am wrong. This place is really one of the best BBQ places in Tampa. I love their ribs and the chopped pork. The quality, quantity  and  preparation of their meat is just the best. The smokey goodness going on behind the counter it just off the chain when you walk in the smokey goodness lets you know your in for a really good BBQ experience. You get a lot of food for the price.",10,A,Wholly Smoke Bar-B Que,Wholly Smoke Bar-B Que,Wholly Smok3 Bar-B Qu3,5.0
"Cute spot that can get a little hairy in Friday and Saturday nights. Recommend coming here on a Sunday afternoon to take part in their bloody bar, and mimosa and screw driver specials. The POT PIE BITES are an absolute must try!!! So so good. For a nice fresh salad I like the Mediterranean salad and my boyfriend really enjoyed the blue burger.",33,C,Irish 31,Irish 31,Irish 31,3.0
"Had the falafel and hummus pita, great flavor and super filling. Awesome alternative to an unhealthy burger and fries. Hubby had chicken Caesar and 7 y/o had the chicken n rice. Everyone was happy n full after the meal. The owner who served us was a nice guy. 
Good experience overall.",40,C,Pita Republic,Pita Republic,Pita Republic,4.0
"I've gotten take-out from here a bunch of times but today was the first time I ever actually ate in the restaurant. The food was excellent as always, mac n cheese is a must have and the chicken sandwiches are fantastic. They had great happy hour deals and strong drinks. The atmosphere was pleasant, loved the pacman machine, and our waitress was very friendly and helpful. The only complaint was the fact that the food took forever to come out and we ended up spending a lot more time there than we had anticipated.",12,A,Fodder & Shine,Fodder & Shine,Fodder&Shine,4.0
"I Love Tropical Smoothie because it is not only delicious lunch or light dinner but is so healthy.  They have locations in Brandon and Downtown Tampa.  I love the Mango Magic and that is usually my go to smoothie on the run. I also like the kiwi Quencher and the Strawberry Limeade.  I usually get a smoothie with the Turkey Bacon Ranch.  Smoothie and half a sandwich.  I also love to get a smoothie right after a run or a workout in the gym like the Island Green which is delish and good for recovery from working out.

The reason I rate it a 4 and not a 5 is that the shops have different owners and none of the programs are the same so you have to remember which shop gave you which reward card or is having a special and that just gets to be a bit much and to confusing.",18,B,Tropical Smoothie Cafe,Tropical Smoothie Cafe,Tr0pical Sm00thie Cafe,4.0
"So glad I tried this place out with perfect weather! I made reservations for myself and 3 friends for a night out. Perfect setting for a girls night out, dinner date, or happy hour. I was greeted by my waiter Christopher who was great! The ambience was very nice, lavish, and elegant. We had a perfect view of the outside patio and shopping boutiques. The food was very tasteful and fulfilling. This place does have a dress code and you have to make reservations. Thank you for the great dine in experience.",14,B,Meat Market Tampa,Meat Market Tampa,meat market tampa,4.0
I have been looking at this place on Yelp since I moved here almost a year ago! I am a big time seafood lover and this is definitely where I will come back to get my seafood . One of the workers was very nice talking to us and telling us about their business! I heard about the long waits for food bc everything is made to order! Luckily we only had to wait about 15 minutes . Everything tasted great !! I will definitely come back ! They have some awesome prices as well ! I really prefer to cook my own eggs so I added eggs to mine once I got hoke,13,A,Krispy Krab 2,Krispy Krab 2,Krispy Krab 2 Inc.,5.0
this place is the best.  we go to the tampa area at least once a year and this place is a must.  easily the best peruvian food we have had in the states.  the ceviche is incredible and all the sides are perfect.  my gf's family is peruvian and they love this place.  cannot wait to come back!,14,B,Terra Sur Cafe,Terra Sur Cafe,Terra Sur Cafe,5.0
Great date night sushi place. Was very happy to see they had plum wine on the menue. The menue has a nice variety and everything tasted great! Would definitely recommend and return!,28,C,Osaka Sushi & Grill,Osaka Sushi & Grill,Os@k@ Sushi & Grill,5.0
This is a great place for good food in a very casual atmosphere.  The crab dip was outstanding. I had Stone crab which was excellent.  They were cracked perfectly. The only thing I did not care for was the dipping for the crab. I used a small amount of tartare and it was fine.  My husband had the King Crab which he said was excellent. Our server was Chris and he was attentive without being overbearing. He did a good job of explains the menu since it was our first time there. But he won't be our last we will definitely go back.,28,C,Pinchers,Pinchers,Pinchers,4.0
"A group of four of us ordered a bottle of wine and the dessert platter.  It was the perfect place in Ybor to people watch and enjoy the scenery.  The service was great, the dessert was delicious! The prices were fantastic. their menu was set up that you picked a bottle of wine base don the price you wanted to pay, which made it easy to select based on your budget.  If we hadn't already had dinner prior, we would've loved to try their cheese platter.  We will definitely be back for a bottle of wine and cheese!  Very cute, quaint wine bar in a great area of Tampa.",15,B,Ybor City Wine Bar,Ybor City Wine Bar,Ybor City Wine B@r,5.0
"If you want to try Latin food (more specifically Colombian) this is your place! They are very nice, and they let you try the food before choosing what you want and they use gloves and masks all the time. 

Everything is very natural, and you can choose between any fruit combination. Also, they offered ""pan de bono"" which is a Colombian bread, very delicious!",0,A,Mangomix,Mangomix,Mangomix,5.0
"Easily my favorite local lunch restaurant! Their ingredients are fresh, prices are unbeatable and the staff is friendly. I have tried nearly everything on the menu and have never been disappointed. My go to order is the Marsala panini, it is loaded with grilled chicken, peppers, mushrooms and cheese.. You can't go wrong with the Philly cheesesteak, pulled pork, or chicken sandwich either! Truly a 5 star experience. 

(Pictured is the Chicken Philly Cheesesteak)",28,C,Great Eats Sandwich Company,Great Eats Sandwich Company,Great Eats Sandwich C0mpany,5.0
"My gf received a gift card for here, and its been well over 20yrs since my last crappy experience here.... 

Well they did not disappoint. Yet again. We came in while it was raining and the place was not very crowded at all. There were two hostesses at the kiosk and one person waiting in front of us. 

We still waited for close to 3-4minutes even tho the two hostesses did not seem to be busy at all. 

We were seated and had to wait over 10min for one of the hostesses to come to our table. I guess they were doing double duty tonight. She took our drink order and we waited another 10ish minutes. 
They had a vampire drink that was only $1. 
It said it had rum in it. We did not taste any. But they were sweet enough, and were only $1. So.... 

In the time we were waiting for our server two more groups were seated. They got their drinks just as slow. 
Oddly they got their appetizers at the same time ours came out. 20min wait for us... maybe 5-10min for theirs. Then another 10min for another $1 faux rum drink for my gf. I was supposed to get another water but never did. 
By now we've been here about 45-50 and our food came out. At least it was hot and sizzling. 
We got the bourbon street chicken and shrimp. It tasted good. That was a plus at least. We ate and our waitress never came back to check on us. 

Not sure how many tables she had, but she was not on top of her game anyways. Very slow service and forgot my refill my water. I ended up drinking my gf's water anyway. The people behind us were complaining as well about the service. 

I let my gf know not to accept anymore gift cards for here in the future. 

Weak drink special.pretty sure no alcohol was in it. 
Ok-ish boneless wings. The asian sauce saved them. 
Good main course. 
Very slow service. 

Don't get me started on the restroom. 
Overall score was a D for me.",24,B,Applebee's Grill + Bar,Applebee's Grill + Bar,Applebee's Grill + Bar,2.0
"I ordered the noodles with shaken beef/chicken and the orange chicken with fried rice. They delivered super quick. Presentation was nice for delivery. All 3 dishes were good - I wouldn't say they were out of this world but they tasted as expected, all the flavors were there. The beef was very tender which I really enjoyed. Next time, I'd like to dine in to try their churros.",12,A,Hiccups & Churroholic,Hiccups & Churroholic,Hiccups & Churroholic,4.0
"I was looking forward to finally trying Sidebern's. I have been in Tampa for over 6 years and still hadn't tried it, can you believe it? Well, out of a whim 4 of us decided to go on a Tuesday night. The first impression was great; the hostesses were friendly and showed us to a very comfortable and private table. Loved the décor and the simplicity yet warmth of the main restaurant. 

With this being said, the rest of the experience was meh! The server seemed rush even though there were only 5 to 6 tables and took the drink order by piecemeal. Some of us ordered the tasting menu, while others ordered a la carte, this after the kitchen approved that not all of us would order from the tasting menu. My choices faired well, while my guests labeled some courses ""an epic fail"". I ordered the Trofie Pasta which was outstanding; then I had the Boar which was salty, dry, and terrible. Overall a mixed bag... Service got better over time but definitely not out of this world. I would give this restaurant another try, see if there are any other plates as wonderful as the Pasta. Desserts to finish were terrible too, but I did enjoy the wine and dessert wine selections.",37,C,SideBern's,SideBern's,SideBern's,2.0
"Having frequented the first Circles often in the past, I wanted to try and see if Full Circle was anything like it. Ordered a thin crust pizza and was surprised when I got home to dig in.  Pizza was thin and perforated with a taste of store bought crust. While the sausage was great, the sauce and crust were not what I would consider pizza.  On top of that, it was cut into squares.  In my experience, a hallmark of chain pizza places.  Having seen all these positive reviews I was anticipating at least a decent pie but sadly that was not the case.  Unfortunately, this was my first and last time eating here.  The staff was nice for the brief interaction I had which accounts for the 2nd star.",35,C,Full Circle Pizza & Grill,Full Circle Pizza & Grill,Full Circle Pizz@ & Grill,2.0
"Let me start by saying I signed up for Yelp just to leave this review because we had never had an experience like this before. I wonder if the owners even know what goes on in this restaurant & if so how do they remain in business. 

We arrived around 5pm & there was no one in the restaurant. Probably should've been our first clue but we figured people were on their way to evening church or spending it with family since it was a holiday weekend. We Were given the standard chips & salsa in which the salsa was quite bland. Ordered the cheese dip & it was ok. Ordered dinner then visited the restroom & it was an absolute mess (women's was fine but husband said the mens was trashed) quite surprising since there was no one there. They had the typical Mariachi music playing but had turned it off. We told them not o turn it off on our account so it came back on. Then they apparently couldn't find a song to their liking as they continued to start & stop the music. THEN (this is when it got unbelievable) once we received out food the music changed to what one could call gangster rap. The explicit songs that used the ""f"" word & the ""n"" word & specific sexual positions was now being blared over the whole restaurant. When we asked our server who thought the music was appropriate, he was about as clueless as they come. He was at best 17 or 18 & probably in the position to where he had to just do as he was told. Then he said he would have them change it. So the music went back to what one can expect while dining in a Mexican restaurant. When my husband questioned a member at the bar who the DJ was,... a little round guy said he was, so my husband asked why he thought the music was appropriate & his response was ""you didn't like it?""  I'm not sure why or how they thought the music was appropriate but it goes well beyond any boundary of questionable good business & proper customer service. 

By the way the food was ok but certainly not anything spectacular. Only reason we will remember this restaurant is because of the travesty that they assumed was ok.",16,B,Estela's,Estela's,estela's,1.0
Bought some Cuban goodies today and they looked so fresh and flaky!  I wish they had a bakery like this closer.  Yum,3,A,La Caridad Bakery,La Caridad Bakery,la caridad bakery,5.0
"If you're craving soul food. This is the place to be. Thankfully I found this restaurant on Yelp. I never knew it existed. I'm glad I went. The menu has a great selection so anything you're craving u can try. I opted for the chicken wings dinner. Me being the picky person, I asked if they can smother my chicken wings and they were nice enough to make them. Best decision ever! It took longer to cook which I was ok with because they make the food fresh to order. From the chicken to the collard greens everything was savory and full of flavor. Proportions are filling. I couldn't even finish my plate  for the price it was well worth it. The waiter was new but he was really nice & friendly. All the staff was nice & friendly. Next time I want to try their breakfast! I'm always down to try chicken & waffles!",19,B,Simply Good,Simply Good,Simply Good,4.0
"Free beer. They serve free beer. Why are you still reading this? You should be driving to German Bistro before they obtain their liquor license and start charging for it. The food is delicious as well and the owners are incredibly sweet and hospitable. Just don't order a side salad with your entrée, or the woman will practically smack you upside the head and tell you that you need to order something German. And she's right. The spatzle was a significantly better choice for a side.",23,B,German Bistro,German Bistro,German Bistr0,4.0
"The food here is amazing, definitely authentic. She doesn't skimp on the meat. The prices are also very reasonable. This place is better than Loli's!",9,A,Esther's Cafe,Esther's Cafe,esther's cafe,5.0
The damn bartenders They can't handle the end of the night !!! Waited 15 min and not an acknowledgment . Thank god for Teresa!!! 1/22 @2am,20,B,Dagwoods Sports Tavern,Dagwoods Sports Tavern,Dagw00ds Sp0rts Tavern,1.0
"When you first walk in you're not sure if you order at the counter or do they Ofer table service. You do both, if you want a to go order you go to the counter, and if you want to eat there, just seat yourself and they will come take your order. I took my sister here for breakfast and she ordered a veggie omelet and said it was perfect. I ordered typical breakfast, eggs over medium and the were cooked over medium, bacon was tasty. I'm picky about bacon, don't like fatty bacon and this bacon was very yummy but cooked just a little crisper then I like it but not by much. Potato's came with it and they were done perfect. And I save the best for last. The pancake is HUGE and better then that, the flavor was very very yummy. I highly recommend going to Tony's for breakfast. Next time I will have to try there lunch menu, I'm sure it will be just as good:) Almost forgot, the staff was very nice and friendly.",33,C,Tony's Restaurant,Tony's Restaurant,Tony's Restaurant Inc.,5.0
"Grill kabobs... I'm in. They have a small selection of kabobs but they come with rice, beans and we also got sweet plantains. The food was very tasty and good portions though I found the beans a bit on the salty side. I will be looking for this truck at the next outdoor event.",18,B,Open Fire Grilled Brazilian,Open Fire Grilled Brazilian,Op3n Fir3 Grill3d Brazilian,4.0
Well they might have a problem with their freezer because I've been battling food poisoning for the post couple of days.,13,A,We Are Poke,We Are Poke,We Are Poke,1.0
"I have no idea how many times I've ordered from this place and they forget everything, make all the orders wrong. Last time they put open dressings in the bag delivered and everything was soaked and then we were without dressings. 

You can't get through to the store when you call. It just beeps and hangs up. This place is honestly a hot mess and needs help. If I could give zero stars I would because this isn't just 1 or 2 times, this is many many times because my office orders from here all the time.",25,B,Chipotle Mexican Grill,Chipotle Mexican Grill,Chip0tle Mexican Grill,1.0
"For being in a ""higher end"" area, I am surprised that the food at this restaurant is not held to a higher standard. We were here watching a football game and the service was amazing, and of course the beer was great but, the food is awful. We had chicken tenders and cheese dip at our table. I am a seasoned cook and the cheese dip looked like something reconstituted from a powder. It was cold and had a strange consistency. The chicken tenders tasted as though they were fried in rancid oil and the french fries were cold and soggy.  Step it up Beefs!",18,B,Beef 'O' Brady's,Beef 'O' Brady's,Beef 'O' Br@dy's,2.0
It was my first time. The service was excellent. The food was delicious. It is often crowded especially on Sunday. Very clean and modern.,20,B,Keke's Breakfast Cafe,Keke's Breakfast Cafe,K3k3's Br3akfast Caf3,4.0
"Drove a long way to get here based upon the pictures of the shellfish only to find a long line and no shellfish.  Nothing special here.  No thanks, I'll go to Ward's or Save on Seafood in Pinellas.",12,A,Tampa Blue Crab and Seafood Market,Tampa Blue Crab and Seafood Market,Tampa Blue Crab and Seafood Market Inc.,1.0
Awesome new spot! There chia pudding is delicious and fairly priced. Definitely will be back,15,B,Sweet Soul,Sweet Soul,Sweet Soul,5.0
